基金代码,信息发布日期,期初份额(份),期末份额(份)
UFMUMI,2020-08-28,1012192576.438617,1045929360.8131846
UFMUMI,2020-10-28,,961945032.9240468
UFMUMI,2020-10-28,1045928410.1005642,961945038.4851469
UFMUMI,2021-01-21,,926041575.2099653
UFMUMI,2021-03-30,1012193751.4447341,926043213.325582
UFMUMI,2021-01-21,961944365.9765321,926042145.0972142
UFMUMI,2021-04-21,,1357098485.8416376
UFMUMI,2021-04-21,926041862.1116308,1357098732.8110538
UFMUMI,2021-07-20,,1345740620.7967513
UFMUMI,2021-08-27,926039747.3759956,1345739328.928601
UFMUMI,2021-07-20,1357099107.4287775,1345738231.7866645
UFMZDA,2020-08-28,660202419.5494015,596895904.5208764
UFMZDA,2020-10-28,596897936.417718,569619728.4715955
UFMZDA,2020-10-28,,569619030.0509499
UFMZDA,2021-01-21,,549166188.0463167
UFMZDA,2021-01-21,569620128.7939126,549164606.2094575
UFMZDA,2021-03-30,660201502.4263047,549163910.0698419
UFMZDA,2021-04-21,,519230316.4439013
UFMZDA,2021-04-21,549164137.7129623,519231386.76914865
UFMZDA,2021-07-20,,509366058.16307354
UFMZDA,2021-08-27,549164466.79114,509363476.7581873
UFMZDA,2021-07-20,519229800.1785568,509365989.43258566
UFUMMU,2020-08-28,846707676.2536002,712191871.730318
UFUMMU,2020-10-28,712189614.2142457,552281306.1941872
UFUMMU,2020-10-28,,552281623.089644
UFUMMU,2021-01-21,,550404237.377074
UFUMMU,2021-01-21,552282328.2973579,550404585.575414
UFUMMU,2021-03-30,846709205.5619453,550406658.7159799
UFUMMU,2021-04-21,,548564572.1387172
UFUMMU,2021-04-21,550404023.9269061,548564952.9918356
UFUMMU,2021-07-20,,415482099.59666264
UFUMMU,2021-08-27,550403342.2523937,415483717.888345
UFUMMU,2021-07-20,548566236.0214857,415483548.436267
UDMUMF,2020-08-31,700040322.6755769,627131278.6883286
UDMUMF,2020-08-03,,
UDMUMF,2020-08-04,,
UDMUMF,2020-08-05,,
UDMUMF,2020-08-06,,
UDMUMF,2020-08-07,,
UDMUMF,2020-08-10,,
UDMUMF,2020-08-11,,
UDMUMF,2020-08-12,,
UDMUMF,2020-08-13,,
UDMUMF,2020-08-14,,
UDMUMF,2020-08-17,,
UDMUMF,2020-08-18,,
UDMUMF,2020-08-19,,
UDMUMF,2020-08-20,,
UDMUMF,2020-08-21,,
UDMUMF,2020-08-24,,
UDMUMF,2020-08-25,,
UDMUMF,2020-08-26,,
UDMUMF,2020-08-27,,
UDMUMF,2020-08-28,,
UDMUMF,2020-08-31,,
UDMUMF,2020-09-01,,
UDMUMF,2020-09-02,,
UDMUMF,2020-09-03,,
UDMUMF,2020-09-04,,
UDMUMF,2020-09-07,,
UDMUMF,2020-09-08,,
UDMUMF,2020-09-09,,
UDMUMF,2020-09-10,,
UDMUMF,2020-09-11,,
UDMUMF,2020-09-14,,
UDMUMF,2020-09-15,,
UDMUMF,2020-09-16,,
UDMUMF,2020-09-17,,
UDMUMF,2020-09-18,,
UDMUMF,2020-09-21,,
UDMUMF,2020-09-22,,
UDMUMF,2020-09-23,,
UDMUMF,2020-09-24,,
UDMUMF,2020-09-25,,
UDMUMF,2020-09-28,,
UDMUMF,2020-09-29,,
UDMUMF,2020-09-30,,
UDMUMF,2020-10-28,,563454172.5105541
UDMUMF,2020-10-28,627131333.9742976,563455178.7147197
UDMUMF,2020-10-09,,
UDMUMF,2020-10-12,,
UDMUMF,2020-10-13,,
UDMUMF,2020-10-14,,
UDMUMF,2020-10-15,,
UDMUMF,2020-10-16,,
UDMUMF,2020-10-19,,
UDMUMF,2020-10-20,,
UDMUMF,2020-10-21,,
UDMUMF,2020-10-22,,
UDMUMF,2020-10-23,,
UDMUMF,2020-10-26,,
UDMUMF,2020-10-27,,
UDMUMF,2020-10-28,,
UDMUMF,2020-10-29,,
UDMUMF,2020-10-30,,
UDMUMF,2020-11-02,,
UDMUMF,2020-11-03,,
UDMUMF,2020-11-04,,
UDMUMF,2020-11-05,,
UDMUMF,2020-11-06,,
UDMUMF,2020-11-09,,
UDMUMF,2020-11-10,,
UDMUMF,2020-11-11,,
UDMUMF,2020-11-12,,
UDMUMF,2020-11-13,,
UDMUMF,2020-11-16,,
UDMUMF,2020-11-17,,
UDMUMF,2020-11-18,,
UDMUMF,2020-11-19,,
UDMUMF,2020-11-20,,
UDMUMF,2020-11-23,,
UDMUMF,2020-11-24,,
UDMUMF,2020-11-25,,
UDMUMF,2020-11-26,,
UDMUMF,2020-11-27,,
UDMUMF,2020-11-30,,
UDMUMF,2020-12-01,,
UDMUMF,2020-12-02,,
UDMUMF,2020-12-03,,
UDMUMF,2020-12-04,,
UDMUMF,2020-12-07,,
UDMUMF,2020-12-08,,
UDMUMF,2020-12-09,,
UDMUMF,2020-12-10,,
UDMUMF,2020-12-11,,
UDMUMF,2020-12-14,,
UDMUMF,2020-12-15,,
