基金代码,投资类别-晨星,基金经理所属机构,设立规模（份）
MMMMUU,混合型,PTFTT,1927966142.5
MMMMIU,混合型,PTFTT,4999112948.66
MMMMAI,混合型,FTIT,846413696.44
MMMUUS,混合型,XNIT,4034601387.29
MMMUXD,混合型,PXNNT,195893606.45
MMMUXS,混合型,SXIDX,863696776.13
MMMUID,混合型,SFIXT,414799211.05
MMMUDS,混合型,XNIT,3319248318.9
MMMXMZ,混合型,TNDAP,287482014.27
MMMXUZ,混合型,PTFNZ,1394722929.44
MMMXXM,混合型,PTFTP,713019534.84
MMMXFU,混合型,FTDX,221006316.08
MMMIMZ,股票型,PXNNI,2754284511.56
MMMIID,混合型,SXIDX,765337333.9
MMMIFP,混合型,PTFTI,2011529249.85
MMMPMP,混合型,PTDIP,547445760.49
MMMPMZ,股票型,PTFTF,841094897.79
MMMPXI,混合型,TSDPZS,128523462.75
MMMPFX,混合型,PTFTN,1586108088.22
MMMPSS,混合型,XNIT,420355911.07
MMMPZD,混合型,TDXXAP,341643228.06
MMMFXX,混合型,TSDDZN,248844670.33
MMMFXI,混合型,TNDFF,1029873647.59
MMMFXZ,混合型,XNIT,2658866513.92
MMMFIM,混合型,PXNNT,1493415635.57
MMMFIU,混合型,XNIN,776778645.84
MMMFIX,混合型,XNNA,2675484823.24
MMMFIP,混合型,PTFTI,510326262.72
MMMFIA,混合型,XNXZ,1685443136.07
MMMFPF,混合型,XNXXT,2259784580.25
MMMFFM,混合型,XNIT,274230584.97
MMMFFU,混合型,TNDAP,361697425.15
MMMFFP,混合型,PTFTN,1194190882.26
MMMFSP,混合型,PTDFZ,433920136.81
MMMFSS,股票型,TDZZPA,200991230.33
MMMFAD,股票型,XNNA,281574294.37
MMMFZF,混合型,PTFTD,553044206.76
MMMFZA,混合型,PTFTI,2910089921.32
MMMDMI,混合型,PTDIP,1672421070.5
MMMDUZ,混合型,TTSNNF,286897412.17
MMMDXA,股票型,PTFTS,1140630132.41
MMMDDI,混合型,TNDFF,826864783.65
MMMDAP,混合型,PTFTI,1077446643.94
MMMDAZ,混合型,TSDPZS,654678057.66
MMMDZD,股票型,FTIT,2080605361.08
MMMDZA,混合型,PTDFZ,1291529429.81
MMMSUU,股票型,PTFTD,1390457737.32
MMMSUS,混合型,PTDPD,664827527.2
MMMSXS,混合型,PTDPD,975265989.9
MMMSPX,混合型,PTFTX,713845278.37
MMMSPD,股票型,PXNNT,1596429076.51
MMMSPS,混合型,XNIT,266856781.29
MMMSFU,股票型,PTFTD,617795162.85
MMMSFF,混合型,TFSPDX,249422328.18
MMMSDU,股票型,XNII,295887926.59
MMMSDS,混合型,PXPNI,1073507334.6
MMMSSX,混合型,XNNA,2870622209.94
