基金代码,一年回报率_202108_202208
MMUAMM,3.648056843073315
ZFZZZU,-9.047241966105041
MMUDUP,-29.14840630079508
MMUFUF,12.510491504942639
FMUMXZ,17.164550609805357
MMAXXS,-13.715351421096537
MUXUAF,-5.093795005660881
MUMAAS,-24.021901262276558
MMZSSP,-15.033406135646837
MMFDIA,-2.3180522407980457
MMSUUM,-18.37793257719268
MMPMDX,4.414315869595619
MMUSZF,-31.564142084333646
ISXMUM,1.3312838677475654
MUMMAZ,-17.019802608634514
MUUPAS,-23.240750696979443
MUUIMA,-25.512779796959986
MMIFDD,2.520852482535293
MMSSFX,5.1387428243452
MMUZAZ,5.070014632986185
MMUZDM,5.563401155896891
MMDMDI,-9.377404442483382
MUMUIZ,4.5031007911023835
MMZAMU,-1.3823446566492161
ZSMMUP,-0.7829521407960047
UFZAFM,-20.54991585551962
FUZUAF,52.420172440712406
UDMIUU,-6.36983854294168
MMZAIM,0.9064361143862119
MMFZIP,2.421959531533326
MUIUIU,3.052578209514553
UDMZXX,-22.342984102400973
FDMMMD,-20.47150819071251
MMZUMP,1.8359029201309776
MMIXMZ,4.0668222581222215
MMFSFX,3.258580869125509
MUMMSU,-6.851630939642142
MMZAZA,-33.488674976231295
MMPASM,-18.672218770019718
MMZSXX,3.940471910755409
MMIUAM,4.5093942570688785
MMPAAU,-13.09524577337473
MMPUUZ,-15.511442728665507
FUZUUD,-14.104173877020113
MMASPS,2.0951613873414225
MMFZAF,9.368101559888416
MMFASM,-5.9984729571656965
UDMDPF,-17.861880632930042
MUXUIP,2.9063323919222066
MMMUZZ,-15.021160539415817
MMAIMD,-9.031524622692608
MMPDDD,-19.17442291862983
FMUMUD,-11.878933633196148
MMIAAD,-12.218079098710938
PSMMIM,2.965292871588316
MMZIAM,-31.66772792662117
PSMMMD,-28.04928334016378
MFMUUU,-4.759625007644135
MUUXPA,-13.141112616213979
MMPUMZ,3.752145463007922
MUXFDA,-6.121615678224389
MMIIPZ,3.946770832854809
MMFFFP,-16.42352979694977
MMPXXS,7.2706841104059885
MUMUFP,-7.2768086419918205
UDUMUS,-5.271447716489869
MMSMSX,-2.0968369688429798
MUMPIM,4.077883531053451
MMFDXP,2.2701039249700674
MUUPSZ,-2.264526782866542
MMUPDA,-4.7997378445688845
MMSUAP,2.573346635412377
MMFAXF,4.404726302796902
MMDDMD,2.1892656540751845
MMZSDS,2.080055580698997
MMSIPZ,-15.195125591194364
MUMASI,-12.817689024028116
MUMMIP,2.562978202045568
