基金代码,基金经理编码,证券从业经历(年),学历,性别,到任时间,离任时间,任职天数
MMMMUU,UPUPPPFPF,17.0,3,1,2004-08,2006-05,651
MMMMUU,UPUPPPXXZ,17.3,3,1,2005-12,2012-05,2316
MMMMUU,UPUPPPFZF,12.4,3,1,2012-05,2013-06,420
MMMMUU,UPUPPPSIA,16.7,4,1,2013-06,2013-09,87
MMMMUU,UPUPPPAPD,12.6,3,1,2013-09,2015-02,522
MMMMUU,UPUPPPZPX,10.8,3,1,2014-07,2015-10,454
MMMMUU,UPUPPUUPS,14.4,3,1,2015-02,2017-05,795
MMMMUU,UPUPPUSFS,27.0,3,1,2015-09,2017-05,609
MMMMUU,UPUPPUSIA,15.6,3,1,2017-05,2022-08,1918
MMMMIU,UPUPPPIPA,13.4,3,1,2007-09,2009-01,483
MMMMIU,UPUPPPUDZ,30.6,2,1,2008-01,2010-02,743
MMMMIU,UPUPPPSIA,16.7,4,1,2010-02,2013-09,1327
MMMMIU,UPUPPPZXF,7.0,3,1,2012-07,2015-01,905
MMMMIU,UPUPPUPAZ,15.0,3,1,2014-01,2017-01,1085
MMMMIU,UPUPPUPZU,24.4,3,1,2015-01,2019-03,1534
MMMMIU,UPUPUIDFZ,8.1,3,1,2019-01,2022-08,1286
MMMMAI,UPUPPPAAU,9.3,3,1,2013-05,2016-04,1071
MMMMAI,UPUPPXUUP,11.1,3,1,2016-04,2022-08,2307
MMMUUS,UPUPPPAPP,9.1,3,1,2013-05,2015-02,630
MMMUUS,UPUPPUUIS,13.1,3,1,2015-02,2022-08,2728
MMMUXD,UPUPPFPUP,9.1,3,2,2019-05,2021-01,613
MMMUXD,UPUPUPPUP,11.1,3,1,2019-05,2021-09,856
MMMUXD,UPUPUPZZX,19.0,4,2,2021-09,2022-08,320
MMMUXS,UPUPPPZAD,6.4,3,2,2013-06,2015-06,717
MMMUXS,UPUPPUIIP,9.2,3,1,2015-06,2016-03,276
MMMUXS,UPUPPXXIZ,13.1,3,1,2015-09,2022-08,2511
MMMUID,UPUPPUXAP,17.0,3,1,2013-06,2014-07,395
MMMUID,UPUPPXPAS,11.1,3,1,2014-07,2022-08,2948
MMMUID,UPUPPXPFF,20.2,3,1,2014-10,2016-07,634
MMMUDS,UPUPPUAXS,12.9,3,1,2013-09,2014-12,469
MMMUDS,UPUPPUPSP,14.1,3,1,2014-12,2018-01,1112
MMMUDS,UPUPPPUPX,14.5,3,2,2016-07,2022-08,2198
MMMXMZ,UPUPPPSIU,8.3,2,1,2013-07,2015-05,681
MMMXMZ,UPUPPUIUI,12.6,3,1,2013-08,2020-04,2440
MMMXMZ,UPUPPXUSX,12.2,3,1,2017-02,2019-09,926
MMMXMZ,UPUPPUIUX,12.8,3,1,2019-08,2022-03,936
MMMXMZ,UPUPUPAPF,14.9,3,1,2020-02,2022-08,909
MMMXUZ,UPUPPUPPF,18.8,3,1,2013-07,2014-12,497
MMMXUZ,UPUPPXPIX,11.2,3,1,2014-12,2017-03,823
MMMXUZ,UPUPPUDPZ,20.3,2,1,2017-03,2021-11,1704
MMMXUZ,UPUPPUDSP,14.3,3,1,2021-11,2022-08,267
MMMXUZ,UPUPUFDFP,7.1,3,1,2022-07,2022-08,11
MMMXXM,UPUPPUPFS,11.1,3,1,2013-08,2018-02,1665
MMMXXM,UPUPUPAPX,11.6,3,1,2018-02,2020-06,848
MMMXXM,UPUPUPZII,7.4,3,2,2020-04,2022-08,841
MMMXFU,UPUPPUXPU,14.6,3,1,2013-08,2022-08,3263
MMMXFU,UPUPPUXFP,14.2,3,1,2013-08,2022-08,3263
MMMXFU,UPUPPPIIP,8.3,3,1,2016-09,2019-04,927
MMMIMZ,UPUPPPSSD,14.6,3,1,2013-10,2014-08,304
MMMIMZ,UPUPPXPSS,14.0,3,1,2014-08,2015-11,469
MMMIMZ,UPUPPUFSP,8.5,3,1,2015-10,2017-07,625
MMMIMZ,UPUPPXIXF,14.1,2,1,2017-06,2018-12,540
MMMIMZ,UPUPPUXPS,12.4,2,1,2018-02,2022-08,1634
MMMIMZ,UPUPUIZSU,9.8,3,1,2019-04,2021-01,639
MMMIID,UPUPPUIUZ,13.6,3,1,2013-11,2017-03,1232
MMMIID,UPUPPPSPD,9.7,3,1,2017-03,2022-03,1828
MMMIID,UPUPPUIII,14.3,3,1,2022-03,2022-08,132
MMMIID,UPUPUUISF,15.1,3,1,2022-03,2022-08,132
MMMIFP,UPUPPPZZU,24.3,3,1,2013-11,2017-04,1246
MMMIFP,UPUPPUFDA,19.3,3,1,2013-11,2015-05,548
MMMIFP,UPUPPPUDX,14.3,3,1,2017-04,2018-09,521
MMMIFP,UPUPUXZSP,12.1,3,1,2018-06,2022-08,1519
MMMPMP,UPUPPUXUP,13.0,3,1,2013-11,2019-01,1871
MMMPMP,UPUPUIFPD,8.4,3,1,2018-12,2022-08,1329
MMMPMZ,UPUPPUSFU,14.3,2,1,2014-03,2015-12,662
MMMPMZ,UPUPPUSFX,10.5,3,1,2015-06,2019-07,1513
MMMPMZ,UPUPUUISA,8.1,3,1,2019-07,2022-08,1105
MMMPXI,UPUPPPAPS,11.0,3,1,2013-12,2015-01,392
MMMPXI,UPUPPUFAA,19.1,3,2,2014-12,2022-08,2777
MMMPFX,UPUPPUUXS,14.2,3,1,2014-01,2016-03,797
MMMPFX,UPUPPUSAP,20.6,3,2,2015-11,2018-06,948
MMMPFX,UPUPPUAUD,14.6,4,1,2018-06,2020-04,672
MMMPFX,UPUPUIUXP,12.9,3,2,2018-07,2022-08,1467
MMMPSS,UPUPPUZFU,17.1,3,1,2014-07,2019-03,1674
MMMPSS,UPUPPUPDZ,24.4,3,1,2019-03,2020-08,529
MMMPSS,UPUPUPUPA,11.1,3,2,2019-06,2020-08,414
MMMPSS,UPUPPUUIS,13.1,3,1,2020-01,2022-08,938
MMMPZD,UPUPPPASX,7.6,3,1,2014-05,2014-08,107
MMMPZD,UPUPPPZFZ,15.4,3,1,2014-05,2015-06,405
MMMPZD,UPUPPUDIP,7.9,3,1,2015-05,2018-12,1309
MMMPZD,UPUPPUDPF,14.3,2,1,2015-05,2019-01,1325
MMMPZD,UPUPPUSIU,12.5,3,1,2019-01,2020-07,552
MMMPZD,UPUPPUDPF,14.3,2,1,2020-07,2022-08,749
